AphiaID,Superdomain_name,Superdomain_AphiaID,Domain_name,Domain_AphiaID,Kingdom_name,Kingdom_AphiaID,Subkingdom_name,Subkingdom_AphiaID,Superphylum_name,Superphylum_AphiaID,Phylum_name,Phylum_AphiaID,Subphylum_name,Subphylum_AphiaID,Infraphylum_name,Infraphylum_AphiaID,Parvphylum_name,Parvphylum_AphiaID,Superclass_name,Superclass_AphiaID,Class_name,Class_AphiaID,Subclass_name,Subclass_AphiaID,Infraclass_name,Infraclass_AphiaID,Subterclass_name,Subterclass_AphiaID,Superorder_name,Superorder_AphiaID,Order_name,Order_AphiaID,Suborder_name,Suborder_AphiaID,Infraorder_name,Infraorder_AphiaID,Section_name,Section_AphiaID,Subsection_name,Subsection_AphiaID,Superfamily_name,Superfamily_AphiaID,Family_name,Family_AphiaID,Subfamily_name,Subfamily_AphiaID,Tribe_name,Tribe_AphiaID,Genus_name,Genus_AphiaID,Subgenus_name,Subgenus_AphiaID,Species_name,Species_AphiaID
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Ceriantharia,1361.0,Penicillaria,366466.0,,,,,,,,,Arachnactidae,100682.0,,,,,,,,,,
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Chondrichthyes,1517375.0,,,Elasmobranchii,10193.0,Neoselachii,368407.0,Batoidea,368409.0,,,,,Myliobatiformes,196069.0,,,,,,,,,,,Urotrygonidae,397229.0,,,,,Urobatis,271193.0,,,Urobatis pardalis,1006825.0
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,Actinioidea,853973.0,Actiniidae,100653.0,,,,,Urticina,100706.0,,,,
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,Metridioidea,854224.0,Andvakiidae,100659.0,,,,,Telmatactis,100766.0,,,,
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,Metridioidea,854224.0,Metridiidae,100678.0,,,,,Metridium,100770.0,,,,
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,Actinioidea,853973.0,Actiniidae,100653.0,,,,,Anemonia,100695.0,,,Anemonia viridis,100808.0
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,Actinioidea,853973.0,Actiniidae,100653.0,,,,,Urticina,100706.0,,,Urticina eques,100833.0
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Chondrichthyes,1517375.0,,,Elasmobranchii,10193.0,Neoselachii,368407.0,Batoidea,368409.0,,,,,Myliobatiformes,196069.0,,,,,,,,,,,Mobulidae,196070.0,,,,,Mobula,105756.0,,,Mobula birostris,1026118.0
1,,,,,Animalia,2,,,,,Arthropoda,1065,Crustacea,1066.0,,,,,Multicrustacea,845959.0,Thecostraca,22388.0,Cirripedia,1082.0,Thoracica,1107.0,,,Thoracicalcarea,1422167.0,Balanomorpha,106039.0,,,,,,,,,Chthamaloidea,106042.0,Catophragmidae,733041.0,,,,,Catolasmus,739445.0,,,Catolasmus pilsbryi,1039511.0
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Chondrichthyes,1517375.0,,,Elasmobranchii,10193.0,Neoselachii,368407.0,Batoidea,368409.0,,,,,Myliobatiformes,196069.0,,,,,,,,,,,Dasyatidae,105708.0,,,,,Hypanus,1042855.0,,,Hypanus longus,1042860.0
