AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
131834,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131834,Haliclona,"Grant, 1841",accepted,,180,Genus,131834,Haliclona,"Grant, 1841",131636,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Turner, T.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2024). World Porifera Database. Haliclona Grant, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131834 on 2024-12-17",urn:lsid:marinespecies.org:taxname:131834,1,0.0,0.0,0.0,0.0,like,2020-12-11T12:18:55.240Z
248339,https://www.marinespecies.org/aphia.php?p=taxdetails&id=248339,Heptacarpus,"Holmes, 1900",accepted,,180,Genus,248339,Heptacarpus,"Holmes, 1900",883967,Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,"DecaNet eds. (2024). DecaNet. Heptacarpus Holmes, 1900. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=248339 on 2024-12-17",urn:lsid:marinespecies.org:taxname:248339,1,,,0.0,,like,2019-08-31T15:51:32.633Z
123456,https://www.marinespecies.org/aphia.php?p=taxdetails&id=123456,Holothuria,"Linnaeus, 1767",accepted,,180,Genus,123456,Holothuria,"Linnaeus, 1767",731943,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,"WoRMS (2024). Holothuria Linnaeus, 1767. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123456 on 2024-12-17",urn:lsid:marinespecies.org:taxname:123456,1,,0.0,0.0,,like,2022-05-17T07:45:05.637Z
123083,https://www.marinespecies.org/aphia.php?p=taxdetails&id=123083,Holothuroidea,"de Blainville, 1834",accepted,,60,Class,123083,Holothuroidea,"de Blainville, 1834",148744,Animalia,Echinodermata,Holothuroidea,,,,WoRMS (2024). Holothuroidea. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123083 on 2024-12-17,urn:lsid:marinespecies.org:taxname:123083,1,1.0,0.0,0.0,0.0,like,2022-03-15T12:10:34.203Z
206125,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206125,Iphione,"Kinberg, 1856",accepted,,180,Genus,206125,Iphione,"Kinberg, 1856",155222,Animalia,Annelida,Polychaeta,Phyllodocida,Iphionidae,Iphione,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Iphione Kinberg, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206125 on 2024-12-17",urn:lsid:marinespecies.org:taxname:206125,1,0.0,0.0,0.0,0.0,like,2020-08-14T09:22:19.573Z
125540,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125540,Kyphosidae,"Jordan, 1887",accepted,,140,Family,125540,Kyphosidae,"Jordan, 1887",1517557,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Kyphosidae Jordan, 1887. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125540 on 2024-12-17",urn:lsid:marinespecies.org:taxname:125540,1,1.0,,0.0,,like,2021-06-30T10:54:26.830Z
125302,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125302,Leptogorgia,"Milne Edwards, 1857",accepted,,180,Genus,125302,Leptogorgia,"Milne Edwards, 1857",125275,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Gorgoniidae,Leptogorgia,"McFadden, C.S.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2024). World List of Octocorallia. Leptogorgia Milne Edwards, 1857. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125302 on 2024-12-17",urn:lsid:marinespecies.org:taxname:125302,1,,0.0,0.0,,like,2021-06-19T21:34:25.780Z
1778,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1778,Limidae,"Rafinesque, 1815",accepted,,140,Family,1778,Limidae,"Rafinesque, 1815",246153,Animalia,Mollusca,Bivalvia,Limida,Limidae,,"MolluscaBase eds. (2024). MolluscaBase. Limidae Rafinesque, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1778 on 2024-12-17",urn:lsid:marinespecies.org:taxname:1778,1,,,,,like,2015-04-27T20:26:20.287Z
923,https://www.marinespecies.org/aphia.php?p=taxdetails&id=923,Maldanidae,"Malmgren, 1867",accepted,,140,Family,923,Maldanidae,"Malmgren, 1867",183607,Animalia,Annelida,Polychaeta,,Maldanidae,,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Maldanidae Malmgren, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=923 on 2024-12-17",urn:lsid:marinespecies.org:taxname:923,1,0.0,0.0,0.0,0.0,like,2010-03-03T00:50:30.050Z
100770,https://www.marinespecies.org/aphia.php?p=taxdetails&id=100770,Metridium,"de Blainville, 1824",accepted,,180,Genus,100770,Metridium,"de Blainville, 1824",100678,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Metridium de Blainville, 1824. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100770 on 2024-12-17",urn:lsid:marinespecies.org:taxname:100770,1,,,0.0,,like,2015-10-06T13:36:17.557Z
